employee_id,first_name,last_name,age,email,country,hire_date,working_remotely,salary,department
1,Grata,Chalkly,49,gchalkly0@cmu.edu,Indonesia,11/28/2014,true,7348.19 zł,Operations
2,Bertrand,Davidsen,35,bdavidsen1@live.com,Ukraine,7/5/2017,false,8168.73 zł,Finance
3,Carver,Taile,42,ctaile2@businessinsider.com,Japan,11/2/2022,true,9718.70 zł,Operations
4,Chaddie,Johnsson,19,cjohnsson3@gnu.org,China,7/29/2014,false,6605.02 zł,Marketing
5,Briant,Honnicott,45,bhonnicott4@barnesandnoble.com,Portugal,7/18/2018,true,5516.90 zł,Finance
6,Jerad,Cotterill,19,jcotterill5@bloomberg.com,Russia,8/23/2022,false,4535.25 zł,IT
7,Alla,Revance,43,arevance6@xinhuanet.com,Vietnam,11/12/2012,true,2610.75 zł,Marketing
8,Fleming,Klimkiewich,59,fklimkiewich7@yahoo.co.jp,Czech Republic,2/18/2017,true,7312.52 zł,Operations
9,Darius,Bachman,51,dbachman8@cmu.edu,China,10/31/2017,true,5808.36 zł,Marketing
10,Rorie,Houndson,28,rhoundson9@mashable.com,Dominican Republic,6/11/2015,false,8804.75 zł,IT
11,Morey,Simonson,55,msimonsona@chron.com,China,3/8/2020,false,9553.19 zł,IT
12,Eve,Marryatt,27,emarryattb@dion.ne.jp,Russia,6/20/2011,true,6179.15 zł,Marketing
13,Lauretta,Sterland,31,lsterlandc@theglobeandmail.com,Mexico,11/16/2010,false,6032.39 zł,Marketing
14,Anatola,Knox,38,aknoxd@alexa.com,El Salvador,9/23/2014,false,6135.70 zł,Marketing
15,Natty,Ledrun,31,nledrune@prlog.org,Russia,2/27/2012,false,5802.41 zł,Operations
16,Earl,Fussey,29,efusseyf@xinhuanet.com,China,7/24/2021,false,6964.28 zł,Marketing
17,Luke,Quilter,38,lquilterg@weather.com,Nigeria,4/30/2010,true,4293.72 zł,Finance
18,Dosi,Bisley,18,dbisleyh@opensource.org,Philippines,5/18/2012,false,9933.24 zł,Finance
19,Chickie,Aggs,62,caggsi@slate.com,China,7/28/2017,true,9779.32 zł,Finance
20,Danell,Cusick,29,dcusickj@omniture.com,Ukraine,8/21/2021,false,7779.40 zł,Marketing
21,Willetta,Leeb,35,wleebk@geocities.com,Thailand,4/17/2012,true,5155.45 zł,Marketing
22,Cyrus,Sheard,25,csheardl@ihg.com,Italy,11/10/2016,false,7533.91 zł,Finance
23,Sib,Pamplin,29,spamplinm@hud.gov,Brazil,3/4/2011,true,5483.02 zł,Operations
24,Karney,Artis,20,kartisn@cnn.com,Japan,8/28/2012,false,3289.17 zł,IT
25,Giovanni,Harmour,45,gharmouro@economist.com,Czech Republic,2/23/2022,false,9629.32 zł,Operations
26,Doralin,Ybarra,64,dybarrap@webnode.com,Ukraine,2/6/2010,true,5881.20 zł,Operations
27,Roderich,Djokic,28,rdjokicq@ning.com,Portugal,9/26/2010,false,4570.14 zł,Marketing
28,Howie,Langelay,29,hlangelayr@ca.gov,Morocco,7/24/2022,true,3094.03 zł,Operations
